State,District,Grade,Overall,"Categories - 1.
Outcome (290)",Categories - 2. ECT (90),"Categories - 3.
IF&SE (51)","Categories - 4.
SS&CP (35)",Categories - 5. DL (50),Categories - 6. GP (84)
Andaman & Nicobar Islands,South Andamans,Prachesta-1,334,133,75,27,25,27,47
Andaman & Nicobar Islands,"Middle And North
Andamans",Prachesta-1,322,138,73,25,25,19,43
Andaman & Nicobar Islands,Nicobars,Prachesta-1,303,130,72,29,24,18,30
Andhra Pradesh,Vizianagaram,Prachesta-1,341,131,66,34,25,23,61
Andhra Pradesh,Guntur,Prachesta-1,336,134,69,37,26,24,46
Andhra Pradesh,Anakapalli,Prachesta-1,334,134,69,33,27,22,49
Andhra Pradesh,Visakhapatnam,Prachesta-1,333,132,70,38,26,28,39
Andhra Pradesh,Krishna,Prachesta-1,333,118,68,38,27,23,59
Andhra Pradesh,East Godavari,Prachesta-1,330,132,68,37,25,24,45
Andhra Pradesh,Kakinada,Prachesta-1,327,129,67,37,25,24,44
Andhra Pradesh,YSR Kadapa,Prachesta-1,326,126,66,35,27,22,50
Andhra Pradesh,Palnadu,Prachesta-1,326,130,68,35,27,22,44
Andhra Pradesh,NTR,Prachesta-1,322,115,68,37,27,26,49
Andhra Pradesh,Bapatla,Prachesta-1,320,132,66,36,24,19,45
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Prachesta-1,315,127,64,35,24,19,46
Andhra Pradesh,Chittoor,Prachesta-1,313,124,67,32,24,19,46
Andhra Pradesh,Alluri Sitharama Raju,Prachesta-1,312,131,61,32,24,14,48
Andhra Pradesh,"Parvathipuram
Manyam",Prachesta-1,311,131,63,32,25,15,44
Andhra Pradesh,Prakasam,Prachesta-1,311,112,66,37,26,22,48
Andhra Pradesh,West Godavari,Prachesta-1,309,118,65,37,23,21,45
Andhra Pradesh,"Sri Potti Sriramulu
Nellore",Prachesta-1,308,117,66,36,25,20,43
Andhra Pradesh,Srikakulam,Prachesta-1,308,120,64,36,24,18,46
Andhra Pradesh,Tirupati,Prachesta-1,308,122,65,33,25,20,43
Andhra Pradesh,Annamayya,Prachesta-1,307,124,65,35,24,19,41
Andhra Pradesh,Eluru,Prachesta-1,305,118,64,36,22,19,45
Andhra Pradesh,Ananthapuramu,Prachesta-1,304,113,67,36,25,21,41
Andhra Pradesh,Kurnool,Prachesta-1,302,104,64,32,22,22,57
Andhra Pradesh,Sri Sathyasai,Prachesta-2,299,115,65,35,24,18,43
Andhra Pradesh,Nandyal,Prachesta-2,295,110,64,33,23,20,44
Arunachal Pradesh,Lower Subansiri,Prachesta-2,266,110,49,22,16,14,53
Arunachal Pradesh,East Siang,Prachesta-2,259,120,47,16,18,12,46
Arunachal Pradesh,Lepa Rada,Prachesta-2,247,103,37,18,10,13,66
Arunachal Pradesh,Itanagar Capital Complex,Prachesta-2,247,112,42,10,12,20,51
Arunachal Pradesh,Namsai,Prachesta-3,236,103,41,17,8,7,60
Arunachal Pradesh,Lower Dibang Valley,Prachesta-3,235,99,47,16,13,14,46
Arunachal Pradesh,Anjaw,Prachesta-3,233,99,46,20,6,4,57
Arunachal Pradesh,Tirap,Prachesta-3,231,100,40,16,8,11,55
Arunachal Pradesh,Tawang,Prachesta-3,228,101,41,15,6,15,50
Arunachal Pradesh,Upper Siang,Prachesta-3,227,107,31,17,6,8,59
Arunachal Pradesh,Lower Siang,Prachesta-3,223,92,44,9,11,6,61
Arunachal Pradesh,West Kameng,Prachesta-3,223,94,37,15,9,13,55
Arunachal Pradesh,Dibang Valley,Prachesta-3,218,102,47,20,10,12,26
Arunachal Pradesh,East Kameng,Prachesta-3,216,91,42,10,8,10,55
Arunachal Pradesh,Kamle,Prachesta-3,216,112,28,10,2,6,59
Arunachal Pradesh,Lohit,Prachesta-3,215,98,48,15,8,10,36
Arunachal Pradesh,Papum Pare,Prachesta-3,213,104,30,11,6,10,52
Arunachal Pradesh,Kra Daadi,Prachesta-3,210,100,34,19,4,3,49
Arunachal Pradesh,West Siang,Prachesta-3,208,100,32,9,6,8,53
Arunachal Pradesh,Changlang,Prachesta-3,207,92,43,11,7,9,45
